year,ers_region,crop,cov_level,group,indemnity,liability,loss_cost,cert,trans
2018,Northern Great Plains,Wheat,0.7,conventional,6923417.0,238126219.0,0.029074568222997737,0,0
2018,Northern Great Plains,Wheat,0.75,conventional,9694654.0,331374595.0,0.029255875816309937,0,0
2018,Northern Great Plains,Wheat,0.8,certified,153167.0,405625.0,0.3776073959938367,1,0
2018,Northern Great Plains,Corn,0.5,conventional,216178.0,16213907.0,0.013332875290329468,0,0
2018,Northern Great Plains,Corn,0.6,conventional,879431.0,24286013.0,0.036211419305424895,0,0
2018,Northern Great Plains,Corn,0.65,conventional,2592436.0,79396288.0,0.03265185395065321,0,0
2018,Northern Great Plains,Corn,0.65,certified,77081.0,391696.0,0.1967878150402353,1,0
2018,Northern Great Plains,Corn,0.7,conventional,13767167.0,366018379.0,0.03761332159771135,0,0
2018,Northern Great Plains,Corn,0.7,certified,338753.0,7511814.0,0.045096031398008524,1,0
2018,Northern Great Plains,Corn,0.75,certified,979355.0,4317019.0,0.2268590895708358,1,0
2018,Northern Great Plains,Corn,0.85,conventional,1642646.0,8938737.0,0.18376712504238574,0,0
2018,Basin and Range,Wheat,0.65,transitional,0.0,2336.0,0.0,0,1
2018,Basin and Range,Corn,0.5,conventional,17013.0,3225221.0,0.0052749873574555045,0,0
2018,Basin and Range,Corn,0.6,conventional,4289.0,338964.0,0.012653261113274566,0,0
2018,Basin and Range,Corn,0.65,conventional,0.0,196583.0,0.0,0,0
2018,Basin and Range,Corn,0.7,conventional,116121.0,1335682.0,0.08693760940104006,0,0
2018,Basin and Range,Corn,0.75,conventional,66370.0,328165.0,0.20224582146176467,0,0
2018,Basin and Range,Corn,0.75,certified,17097.0,108018.0,0.15827917569294006,1,0
2018,Northern Great Plains,Corn,0.75,conventional,42861345.0,841337390.0,0.05094430071626794,0,0
2018,Northern Great Plains,Corn,0.8,conventional,12993548.0,155974718.0,0.08330547518604907,0,0
2018,Prairie Gateway,Corn,0.6,certified,409101.0,6700637.0,0.06105404605562128,1,0
2018,Prairie Gateway,Corn,0.85,conventional,8426005.0,109100023.0,0.0772319268896946,0,0
2018,Northern Great Plains,Wheat,0.5,conventional,126540.0,8586130.0,0.014737722349882892,0,0
2018,Northern Great Plains,Wheat,0.55,conventional,11768.0,595956.0,0.019746424232661472,0,0
2018,Northern Great Plains,Wheat,0.6,conventional,335573.0,9026724.0,0.03717550243033907,0,0
2018,Northern Great Plains,Wheat,0.6,certified,0.0,293053.0,0.0,1,0
2018,Northern Great Plains,Wheat,0.7,certified,235945.0,699060.0,0.3375175235315996,1,0
2018,Northern Great Plains,Wheat,0.7,transitional,0.0,8824.0,0.0,0,1
2018,Northern Great Plains,Wheat,0.75,certified,304217.0,1800010.0,0.16900850550830274,1,0
2018,Northern Great Plains,Wheat,0.8,conventional,2557272.0,42587845.0,0.06004699228148313,0,0
2018,Northern Great Plains,Wheat,0.85,conventional,211093.0,1356502.0,0.15561569389503296,0,0
2018,Northern Great Plains,Corn,0.8,certified,168815.0,1726992.0,0.09775088709154414,1,0
2018,Northern Great Plains,Corn,0.5,certified,0.0,343589.0,0.0,1,0
2018,Northern Great Plains,Corn,0.7,transitional,3322.0,145027.0,0.02290607955759962,0,1
2018,Prairie Gateway,Corn,0.65,certified,193450.0,1199645.0,0.16125603824464738,1,0
2018,Prairie Gateway,Soybeans,0.5,conventional,7694.0,2829430.0,0.0027192756138162103,0,0
2018,Prairie Gateway,Soybeans,0.7,transitional,32658.0,32658.0,1.0,0,1
2018,Prairie Gateway,Soybeans,0.8,conventional,4463460.0,127414892.0,0.0350309130270267,0,0
2018,Southern Seaboard,Corn,0.5,conventional,331570.0,8535457.0,0.03884619183249356,0,0
2018,Southern Seaboard,Corn,0.6,conventional,143443.0,5993680.0,0.023932375435458682,0,0
2018,Southern Seaboard,Corn,0.65,conventional,625186.0,8160745.0,0.076608937051703,0,0
2018,Southern Seaboard,Corn,0.7,conventional,3093460.0,30155557.0,0.10258341439357263,0,0
2018,Southern Seaboard,Corn,0.7,certified,251566.0,1110232.0,0.2265886769612117,1,0
2018,Southern Seaboard,Corn,0.75,conventional,4752918.0,49370748.0,0.09626992080411664,0,0
2018,Southern Seaboard,Corn,0.55,conventional,92882.0,1549232.0,0.05995357699815134,0,0
2018,Southern Seaboard,Corn,0.75,certified,262480.0,1377621.0,0.1905313580440484,1,0
2018,Southern Seaboard,Corn,0.8,conventional,2530995.0,32872031.0,0.07699539465632653,0,0
2018,Southern Seaboard,Corn,0.85,conventional,94558.0,3428655.0,0.02757874443477107,0,0
2018,Fruitful Rim,Corn,0.7,conventional,6431.0,2603538.0,0.002470100301973699,0,0
2018,Fruitful Rim,Corn,0.8,conventional,46665.0,2053450.0,0.02272516983612944,0,0
2018,Fruitful Rim,Corn,0.8,certified,193084.0,1712367.0,0.11275853832735623,1,0
2018,Fruitful Rim,Soybeans,0.55,conventional,0.0,75979.0,0.0,0,0
2018,Fruitful Rim,Soybeans,0.8,certified,0.0,41436.0,0.0,1,0
2018,Southern Seaboard,Wheat,0.75,conventional,467370.0,3071226.0,0.15217701334906647,0,0
2018,Southern Seaboard,Wheat,0.75,certified,133582.0,501974.0,0.2661133843585524,1,0
2018,Southern Seaboard,Wheat,0.6,conventional,56511.0,423156.0,0.1335464934917619,0,0
2018,Southern Seaboard,Wheat,0.6,certified,5535.0,108578.0,0.050977177697139386,1,0
2018,Southern Seaboard,Wheat,0.7,conventional,568546.0,3203155.0,0.17749562540682545,0,0
2018,Southern Seaboard,Soybeans,0.6,conventional,464244.0,6064685.0,0.07654874078373403,0,0
2018,Southern Seaboard,Soybeans,0.65,conventional,2254431.0,15973750.0,0.14113348462320996,0,0
2018,Southern Seaboard,Soybeans,0.65,certified,11096.0,119784.0,0.0926334067989047,1,0
2018,Southern Seaboard,Soybeans,0.7,conventional,5617411.0,41630817.0,0.1349339600997982,0,0
2018,Southern Seaboard,Soybeans,0.75,conventional,11382130.0,81705138.0,0.13930739582130075,0,0
2018,Southern Seaboard,Soybeans,0.75,certified,501947.0,2040006.0,0.24605172729884128,1,0
2018,Southern Seaboard,Corn,0.5,certified,18686.0,126059.0,0.14823217699648578,1,0
2018,Southern Seaboard,Soybeans,0.5,conventional,150983.0,4664953.0,0.032365385031746303,0,0
2018,Southern Seaboard,Soybeans,0.5,certified,1805.0,85948.0,0.021001070414669334,1,0
2018,Southern Seaboard,Corn,0.85,certified,159936.0,1098763.0,0.14556005253180168,1,0
2018,Southern Seaboard,Soybeans,0.85,certified,14683.0,133131.0,0.11028986486994014,1,0
2018,Southern Seaboard,Corn,0.6,certified,184555.0,338929.0,0.5445240743636572,1,0
2018,Fruitful Rim,Corn,0.7,certified,0.0,684261.0,0.0,1,0
2018,Fruitful Rim,Soybeans,0.5,conventional,551.0,1483.0,0.3715441672285907,0,0
2018,Fruitful Rim,Soybeans,0.7,conventional,13467.0,36078.0,0.3732745717611841,0,0
2018,Fruitful Rim,Soybeans,0.7,certified,0.0,116710.0,0.0,1,0
2018,Fruitful Rim,Corn,0.75,certified,4142.0,1913070.0,0.002165106347389275,1,0
2018,Fruitful Rim,Wheat,0.85,certified,375794.0,897470.0,0.41872597412726886,1,0
2018,Fruitful Rim,Corn,0.85,certified,63272.0,634002.0,0.09979779243598601,1,0
2018,Basin and Range,Wheat,0.85,conventional,370877.0,64572131.0,0.005743607873186034,0,0
2018,Basin and Range,Wheat,0.85,certified,19777.0,125013.0,0.1581995472470863,1,0
2018,Fruitful Rim,Wheat,0.55,conventional,0.0,454249.0,0.0,0,0
2018,Fruitful Rim,Corn,0.6,certified,0.0,45852.0,0.0,1,0
2018,Heartland,Wheat,0.6,conventional,17762.0,467100.0,0.03802611860415329,0,0
2018,Heartland,Wheat,0.65,conventional,188936.0,3334197.0,0.05666611780887572,0,0
2018,Heartland,Wheat,0.7,conventional,1241441.0,12984540.0,0.09560916289679881,0,0
2018,Heartland,Wheat,0.75,conventional,2908461.0,36464027.0,0.0797624738485412,0,0
2018,Heartland,Wheat,0.75,certified,365791.0,1428593.0,0.25604983364751194,1,0
2018,Heartland,Wheat,0.75,transitional,43478.0,271790.0,0.15996909378564333,0,1
2018,Heartland,Wheat,0.8,conventional,1016270.0,15536531.0,0.0654116417622441,0,0
2018,Heartland,Wheat,0.85,conventional,300067.0,4805758.0,0.06243905748063053,0,0
2018,Heartland,Corn,0.5,conventional,898826.0,73257084.0,0.012269475536318098,0,0
2018,Heartland,Corn,0.55,conventional,183365.0,16870794.0,0.01086878305786912,0,0
2018,Heartland,Corn,0.6,conventional,912247.0,67205694.0,0.013573954016455808,0,0
2018,Heartland,Corn,0.65,conventional,3095795.0,223858926.0,0.013829222963394366,0,0
2018,Heartland,Corn,0.7,conventional,14423364.0,772587650.0,0.018668903133515012,0,0
2018,Heartland,Corn,0.75,conventional,57243618.0,2762668316.0,0.020720409203114777,0,0
2018,Heartland,Corn,0.8,conventional,137603044.0,6179765909.0,0.022266708161161837,0,0
